Episode,Reward,Success,Steps,Final_Absolute_Error,Epsilon,Loss,Wall_Clock_Time
1,-149.4896975159645,0,150,0.6265990089456891,1.0,0.0,0.24336719512939453
2,-52.81498382007703,0,150,0.9224760050088714,0.995,0.0,0.48337292671203613
3,-168.785686314106,0,150,0.9214025180036642,0.990025,0.0,0.7382638454437256
4,-25.316003219597043,0,150,0.12449195440079053,0.985074875,0.07566329697608062,1.3251104354858398
5,16.297576755785848,1,20,0.013747197545700002,0.9801495006250001,0.02989719700999558,1.3961365222930908
6,-105.17001573741436,0,150,0.8278720106399579,0.9752487531218751,0.05148987613618374,1.920173168182373
7,-92.94584220647812,0,150,0.6332630147071758,0.9703725093562657,0.03417188640606279,2.41532826423645
8,-90.88215355575085,0,150,0.6050063532974823,0.9655206468094844,0.03437721487910797,2.903247833251953
9,-53.49322626329958,0,150,0.7760611971480048,0.960693043575437,0.02112717437480266,3.3642594814300537
10,-57.44177349209785,0,150,0.36315255758095116,0.9558895783575597,0.02789576313458383,3.8255679607391357
11,-138.30844444036484,0,150,1.4748040726637202,0.9511101304657719,0.020515866494582344,4.308244943618774
12,-87.98544767331332,0,150,0.7085844338689488,0.946354579813443,0.015801889869229247,4.775415658950806
13,-51.284590169694276,0,150,0.5909295152339892,0.9416228069143757,0.0225145225545081,5.2486255168914795
14,1.0561410136986495,1,51,0.03484326268063176,0.9369146928798039,0.012322778548753145,5.404215574264526
15,-42.241029546473875,0,150,0.21568831044896034,0.9322301194154049,0.023533144486136734,5.8751373291015625
16,5.831521108080049,1,121,0.0233651643318408,0.9275689688183278,0.022138127485628833,6.243537425994873
17,-56.18151759071625,0,150,0.305029087608394,0.9229311239742362,0.021374827042842905,6.729878664016724
18,-2.2659589517861676,1,150,0.021101636784917305,0.918316468354365,0.021722574612746636,7.2279486656188965
19,19.00877771927044,1,71,0.01322734974551204,0.9137248860125932,0.03345353164198533,7.462474584579468
20,-12.976913378853354,1,135,0.02367291489342491,0.9091562615825302,0.0256219745889582,7.926983118057251
21,-58.186413817247356,0,150,0.0038692016575554433,0.9046104802746175,0.03228789251452933,8.409226894378662
22,-31.535956394752404,1,136,0.0375299084111651,0.9000874278732445,0.02579146425020607,8.852084875106812
23,-20.168929963291156,0,150,0.17094550123149388,0.8955869907338783,0.028776318412274123,9.330317497253418
24,11.852581170713528,1,52,0.01769268239002364,0.8911090557802088,0.024614588491833553,9.511662006378174
25,-45.18563584326765,1,113,0.030530768133966157,0.8866535105013078,0.03429938488087691,9.842901945114136
26,-18.125390995107587,1,107,0.009364173080270932,0.8822202429488013,0.024316439927320615,10.184501647949219
27,-8.64572372231633,1,93,0.012770574320597583,0.8778091417340573,0.0355521667177879,10.491337060928345
28,23.070002744015074,1,57,0.012044215450627838,0.8734200960253871,0.04391713902811732,10.672289371490479
29,-17.086531910114,0,150,0.099280272713824,0.8690529955452602,0.041515121304740506,11.147852659225464
30,21.57647435616236,1,94,0.032613719196851174,0.8647077305675338,0.035808186230071364,11.441625833511353
31,-108.39428028464317,0,150,0.47581004283426076,0.8603841919146962,0.04298859336723884,11.922989845275879
32,-11.552554347552359,0,150,0.7357971811860774,0.8560822709551227,0.04064623923040926,12.386457443237305
33,15.812682616978417,1,44,0.026053798640537362,0.851801859600347,0.03965656592679972,12.534907817840576
34,-11.056411170703363,1,109,0.033414061441596865,0.8475428503023453,0.03883562336137535,12.89693284034729
