Episode,Reward,Success,Steps,Final_Absolute_Error,Epsilon,Loss,Wall_Clock_Time
1,-149.4896975159645,0,150,0.6265990089456891,1.0,0.0,0.24573636054992676
2,-52.81498382007703,0,150,0.9224760050088714,0.9981,0.0,0.49271154403686523
3,-168.35382521152496,0,150,0.9040570880335741,0.9962,0.0,0.7354772090911865
4,-24.785369218140836,0,150,0.08940725344647393,0.9943,0.07186223166340058,1.3233795166015625
5,-55.39056303482503,0,150,0.7802220133325345,0.9924,0.023378860695908468,1.7831270694732666
6,19.795482482135412,1,77,0.0049496496070872975,0.9905,0.045361307637112866,2.027850389480591
7,-92.67110864818096,0,150,0.047126681308036766,0.9886,0.029527731069053213,2.491316318511963
8,-30.676166809815914,0,150,0.4901117382689538,0.9867,0.037620014152489605,2.945523738861084
9,-180.27758610248566,0,150,1.7982009413777482,0.9848,0.03392513370451828,3.411870002746582
10,-50.18071618117391,0,150,0.08550667562941822,0.9829,0.02087541733092318,3.893984317779541
11,-148.0265761166811,0,150,0.24682356832716834,0.981,0.027860461226664482,4.362130403518677
12,17.63146528485231,1,8,0.0015930833204381122,0.9791,0.013529215357266366,4.392956495285034
13,-59.94722501933575,0,150,0.552606946740426,0.9772,0.020581056981657943,4.884197473526001
14,1.1963538489304426,1,79,0.027289763816482848,0.9753000000000001,0.030381832560642235,5.1392436027526855
15,-43.933115883241406,0,150,0.9679300452966906,0.9734,0.03057636960875243,5.5982794761657715
16,-99.19677574932575,0,150,1.0842847135558924,0.9715,0.032254276399811106,6.087070465087891
17,-48.14651753604412,0,150,0.1338023238147017,0.9696,0.019721503322944044,6.535645961761475
18,-56.47528301924467,0,150,0.2771977863131986,0.9677,0.020340714490351578,7.0138795375823975
19,17.844542376260506,1,50,0.02216772538018716,0.9658,0.012566777225583792,7.167072057723999
20,-48.537569276290014,0,150,0.509050941371329,0.9639,0.023991332600514094,7.657386302947998
21,-160.47884035110474,0,150,0.6040356173782491,0.962,0.0274011305704092,8.147213697433472
22,-61.67961009331046,0,150,0.10363064917690545,0.9601,0.023133129626512528,8.608018159866333
23,-37.48300582738594,0,150,0.16280099286854344,0.9582,0.022452525459229947,9.055160760879517
24,-62.83480489570647,0,150,0.19845107830423747,0.9563,0.01970318754669279,9.519307136535645
25,-3.338142643054021,0,150,0.07717827262969201,0.9544,0.023005140932897728,9.99867296218872
26,-133.65803915262222,0,150,1.3946508593502904,0.9525,0.01999302074002723,10.463032960891724
27,-35.8331940619275,0,150,0.22851659672029867,0.9506,0.020886776242405175,10.950959920883179
28,10.88752369210124,1,39,0.0046945948638691185,0.9487,0.024070781715309773,11.117326974868774
29,-97.76080968976021,0,150,0.685976980781423,0.9468,0.02346687610571583,11.58276104927063
30,10.75632922356017,1,53,0.01240817332096579,0.9449,0.019976122392657794,11.753439664840698
